지점명,일시,평균기온(℃),최고기온(℃),최고기온시각,최저기온(℃),최저기온시각일교차
수원,2020-04-06,8.2,15.7,13:25,1.1,5:57
수원,2020-04-07,9.6,17.4,13:49,3.8,3:34
수원,2020-04-08,8.8,13.9,12:28,3.7,5:29
수원,2020-04-09,8.2,14,12:59,2,6:05
수원,2020-04-10,9.3,16,13:51,2.9,6:23
수원,2020-04-11,8.4,14.8,13:57,4.1,5:00
수원,2020-04-12,9.6,15.5,14:57,2.4,4:47
수원,2020-04-13,10.7,19.5,15:54,5.1,4:56
수원,2020-04-14,11.3,18.8,13:07,4.9,6:08
수원,2020-04-15,11.5,19.6,13:39,3.3,6:04
수원,2020-04-16,14.3,23.5,16:13,5.1,4:53
수원,2020-04-17,12.4,17,15:43,9.8,23:33
수원,2020-04-18,12.8,18.1,14:02,9.1,5:25
수원,2020-04-19,11.8,15.5,12:13,8.6,2:45
수원,2020-04-20,10.3,14.6,11:25,7.1,23:58
수원,2020-04-21,7.5,10.6,10:51,5,5:10
수원,2020-04-22,6.7,9.1,12:58,5,3:37
수원,2020-04-23,8,12.8,14:16,3.1,4:49
수원,2020-04-24,9.9,15.4,13:55,2.7,6:01
수원,2020-04-25,13.1,18.4,13:03,8.7,22:44
수원,2020-04-26,11.8,18.4,14:24,5.2,5:34
수원,2020-04-27,12,18.1,14:34,6.7,5:30
수원,2020-04-28,13.6,21,13:46,6,5:27
수원,2020-04-29,14.4,21.8,14:00,8.8,5:21
수원,2020-04-30,16.3,23.8,15:10,6.6,5:32
수원,2020-05-01,20.4,27,14:00,15.9,3:54
수원,2020-05-02,20.8,25.3,13:55,18.3,2:42
수원,2020-05-03,21.1,26,15:27,16.2,4:17
수원,2020-05-04,18.3,23.7,13:33,12.1,22:45
수원,2020-05-05,14.2,20.3,11:09,11,4:07
수원,2020-05-06,17.8,26.8,14:39,8.8,4:52
수원,2020-05-07,20.6,25.9,13:47,14,5:46
수원,2020-05-08,18.9,25,14:23,14.3,24:00:00
수원,2020-05-09,14.7,17.3,15:23,12.9,23:13
수원,2020-05-10,14.2,17.1,13:46,12.8,20:51
수원,2020-05-11,16.4,22.4,14:20,12.1,24:00:00
수원,2020-05-12,14.1,18.7,14:08,9.5,3:54
수원,2020-05-13,15.8,22,13:28,8.6,3:54
수원,2020-05-14,20,26.3,15:28,11.7,2:47
수원,2020-05-15,16.2,21.3,0:01,14.5,10:07
수원,2020-05-16,16.5,19.1,15:14,14.9,7:10
수원,2020-05-17,19.1,25.7,16:00,14.3,5:52
수원,2020-05-18,19.2,27.7,14:49,12.9,21:37
수원,2020-05-19,13.5,18.3,15:54,10.9,23:23
수원,2020-05-20,14.1,19.9,15:10,9.7,1:38
수원,2020-05-21,17.1,22.1,17:03,10.3,2:09
수원,2020-05-22,18.2,23,13:52,13.1,4:25
수원,2020-05-23,19.9,25.4,15:17,15.8,5:19
수원,2020-05-24,16.8,19.6,6:02,13.5,23:51
수원,2020-05-25,15.5,20,14:49,12.6,3:29
수원,2020-05-26,16.1,23.6,13:49,12.6,1:16
수원,2020-05-27,17.1,24.1,12:58,12,5:52
수원,2020-05-28,18,23.8,14:01,12.5,1:59
수원,2020-05-29,19.4,27.4,15:20,13.1,4:12
수원,2020-05-30,21.6,29.7,15:33,15.1,5:43
수원,2020-05-31,20.4,27.6,13:13,15.8,4:47
수원,2020-06-01,18.9,24,13:54,14,23:56
수원,2020-06-02,18.3,23.3,15:04,13,4:24
수원,2020-06-03,21.9,28,16:39,18,5:18
수원,2020-06-04,22.3,27.4,13:27,19,23:52
수원,2020-06-05,21.5,27.9,15:46,18.3,23:27
수원,2020-06-06,23.3,30.7,15:51,16.7,4:39
수원,2020-06-07,21.6,28.4,15:57,17.7,4:25
수원,2020-06-08,24.1,31.5,15:44,17.9,0:14
수원,2020-06-09,25.7,32.7,13:05,18,4:05
수원,2020-06-10,25.4,32.5,15:10,19.6,5:20
수원,2020-06-11,25.4,31,15:15,21.6,23:52
수원,2020-06-12,23.4,27.6,13:38,19.5,4:41
수원,2020-06-13,25.7,32.4,15:38,20.3,5:17
수원,2020-06-14,22.9,28,14:39,18.7,23:56
수원,2020-06-15,22.3,27.9,15:05,17.2,4:06
수원,2020-06-16,23.4,29.5,15:22,19.6,2:02
수원,2020-06-17,22.9,29.1,13:42,18,5:10
수원,2020-06-18,22.7,26.3,15:34,19.4,4:34
수원,2020-06-19,23.8,29.1,14:49,19.9,23:47
수원,2020-06-20,23.6,29.3,14:16,18.7,5:14
수원,2020-06-21,24.2,31.9,14:07,18.5,4:45
수원,2020-06-22,26.5,34,16:17,19.2,4:03
수원,2020-06-23,25.5,30.2,12:17,20.8,5:38
수원,2020-06-24,22.5,26.4,4:38,20.4,10:57
수원,2020-06-25,21.6,23.6,14:20,19.8,24:00:00
수원,2020-06-26,21.8,25.8,15:17,18.7,4:33
수원,2020-06-27,23.7,29.3,14:29,20,3:09
수원,2020-06-28,23.5,28.7,14:00,20,3:02
수원,2020-06-29,22.7,26.8,15:13,17.3,3:58
수원,2020-06-30,20.2,23,16:58,17.9,22:20
수원,2020-07-01,20.8,24.6,14:52,17.5,4:35
수원,2020-07-02,23.8,29.5,17:21,19,0:51
수원,2020-07-03,23.8,29,12:28,19.6,3:19
수원,2020-07-04,22.5,28.2,13:59,18.5,2:47
수원,2020-07-05,22.6,28.1,15:45,18.1,5:25
수원,2020-07-06,24.6,30.5,15:02,20.1,5:13
수원,2020-07-07,23.3,27.9,15:48,20.7,23:25
수원,2020-07-08,23.6,29.6,14:42,19.9,3:39
수원,2020-07-09,27,33,13:47,20,3:22
수원,2020-07-10,25.8,29.1,18:16,23.1,23:58
수원,2020-07-11,26,30.6,14:24,21,4:31
수원,2020-07-12,23.2,25.6,12:54,20.8,23:42
수원,2020-07-13,19,20.8,0:01,18.3,5:34
수원,2020-07-14,20.8,23.9,14:39,17.6,5:50
수원,2020-07-15,22.3,27.9,16:41,18.7,4:39
수원,2020-07-16,23.3,29,14:22,18,5:26
수원,2020-07-17,24.4,29.8,13:41,20.4,3:40
수원,2020-07-18,25.2,30,15:41,20.5,3:56
수원,2020-07-19,25.1,28.1,16:47,20.5,7:34
수원,2020-07-20,24,27.8,1:32,22.5,20:48
수원,2020-07-21,24.7,29.9,13:25,21.5,5:27
수원,2020-07-22,22.6,23.7,11:53,21.7,22:41
수원,2020-07-23,21.6,23.1,9:45,19.7,23:11
수원,2020-07-24,23.3,27.2,16:03,20.3,0:05
수원,2020-07-25,25.2,29.4,15:12,22.4,5:25
수원,2020-07-26,25,29.2,13:26,22.5,4:39
수원,2020-07-27,24.6,27.1,16:47,22.6,0:57
수원,2020-07-28,24.2,25.7,14:04,22.8,3:52
수원,2020-07-29,24.7,27.8,14:55,23.2,5:01
수원,2020-07-30,24.8,28.3,14:30,22.6,23:30
수원,2020-07-31,25.9,30,15:41,22.5,0:10
수원,2020-08-01,26.2,29.2,11:53,24,22:29
수원,2020-08-02,25.2,28.1,13:59,23.3,17:08
수원,2020-08-03,25,26.8,3:00,23,19:45
수원,2020-08-04,27.4,30.4,15:24,23.8,0:01
수원,2020-08-05,27,29.1,18:06,25.2,13:42
수원,2020-08-06,24.3,26.2,14:27,22.8,23:33
수원,2020-08-07,24.2,25.9,17:18,22.4,5:24
수원,2020-08-08,24,25,16:15,22.7,8:22
수원,2020-08-09,25.3,27.7,15:32,24.1,7:56
수원,2020-08-10,26.6,30.5,12:51,24.9,0:24
수원,2020-08-11,25.4,28.3,13:39,23.5,22:13
수원,2020-08-12,27.2,30.9,13:33,23.4,3:58
수원,2020-08-13,28.2,32.1,15:35,25.9,2:56
수원,2020-08-14,27.7,29.9,11:26,26.3,5:35
수원,2020-08-15,26.7,29.3,17:07,25.1,8:12
수원,2020-08-16,27.5,31.6,14:39,24.7,4:14
수원,2020-08-17,28.1,32.8,15:24,25.1,23:05
수원,2020-08-18,26.9,32.2,17:09,23.1,5:08
수원,2020-08-19,26.7,32.1,13:55,22.8,4:33
수원,2020-08-20,27.4,33,15:28,23.3,3:03
수원,2020-08-21,27.6,31.4,13:26,23.8,3:06
수원,2020-08-22,25,29.4,13:08,22,19:37
수원,2020-08-23,25.7,30.4,14:48,21.7,5:45
수원,2020-08-24,27.7,32,12:37,22.5,2:27
수원,2020-08-25,29.7,34.9,15:15,24.6,4:38
수원,2020-08-26,30.3,34.2,12:55,26.8,23:00
수원,2020-08-27,27.9,30,13:17,25.9,21:31
수원,2020-08-28,27.7,30.9,14:14,25.5,1:43
수원,2020-08-29,26.4,28.9,12:38,24.9,6:05
수원,2020-08-30,26.8,30.9,16:17,24.8,5:20
수원,2020-08-31,27.4,30.8,16:09,24.5,3:28
수원,2020-09-01,26.1,29.7,14:05,23.5,6:20
수원,2020-09-02,24.3,26,10:25,22.8,23:56
수원,2020-09-03,22.7,26.3,15:12,19.7,24:00:00
수원,2020-09-04,23.1,27.4,14:01,19.1,0:39
수원,2020-09-05,23.3,27.5,15:09,19.3,0:45
수원,2020-09-06,21.4,25,14:40,18.9,23:55
수원,2020-09-07,19.5,22.4,23:17,16.7,7:33
수원,2020-09-08,23.3,26.9,14:12,21,4:44
수원,2020-09-09,20.5,25.3,13:06,17.6,22:38
수원,2020-09-10,22.3,27.6,16:20,18.1,0:01
수원,2020-09-11,22.2,26.3,11:02,18.5,23:40
수원,2020-09-12,20,22.1,14:10,17.8,3:47
수원,2020-09-13,21.3,26.6,14:44,16.8,6:01
수원,2020-09-14,21,26,13:37,16.1,6:16
수원,2020-09-15,22.6,27.4,15:11,18.7,4:52
수원,2020-09-16,21.8,25.4,12:09,19.7,23:43
수원,2020-09-17,20.8,24,12:39,18.8,22:30
수원,2020-09-18,21.2,26,13:26,17.7,5:54
수원,2020-09-19,19.8,26.3,14:19,15.7,7:05
수원,2020-09-20,18.6,24.9,15:03,13.5,3:04
수원,2020-09-21,18.3,24.6,15:51,12.6,4:40
수원,2020-09-22,19.9,25.1,15:47,15,5:31
수원,2020-09-23,19.4,23.5,14:16,15.7,4:11
수원,2020-09-24,21.1,25.7,13:36,17.6,6:12
수원,2020-09-25,20.6,25.5,14:10,14.9,4:48
수원,2020-09-26,20,24.9,15:07,15.7,6:25
수원,2020-09-27,20,26,14:59,15.4,4:59
수원,2020-09-28,19.6,26,14:58,14.1,6:05
수원,2020-09-29,18.9,24.4,14:03,13.9,6:47
수원,2020-09-30,18.8,24.9,13:09,14.6,4:41
수원,2020-10-01,18.7,24.3,14:44,15.1,5:56
수원,2020-10-02,19.2,23.8,12:59,14.5,5:17
수원,2020-10-03,19.6,23.8,13:50,16.9,7:23
수원,2020-10-04,17.1,22,13:04,11.5,23:40
수원,2020-10-05,13.6,18.3,13:49,7.4,6:25
수원,2020-10-06,13.7,19.8,14:49,7.5,5:24
수원,2020-10-07,15.4,21.7,14:24,8.6,5:30
수원,2020-10-08,17.3,23.4,15:47,10.8,5:05
수원,2020-10-09,17.3,23.5,15:50,10.2,5:59
수원,2020-10-10,16.6,21.5,14:31,10.3,6:04
수원,2020-10-11,16.2,20.6,11:31,12.9,5:57
수원,2020-10-12,15.4,21.2,12:49,11.5,23:51
수원,2020-10-13,12.4,18.2,14:59,6,5:53
수원,2020-10-14,12.9,19.5,14:10,8.2,2:31
수원,2020-10-15,11.2,18.4,14:15,6,4:58
수원,2020-10-16,11.6,16.1,14:00,6.5,3:23
수원,2020-10-17,12.5,18.6,14:08,7.9,24:00:00
수원,2020-10-18,12.6,19.5,13:50,5.7,4:08
수원,2020-10-19,14,21,14:34,7.1,4:31
수원,2020-10-20,13.8,21.6,14:38,7.3,6:21
수원,2020-10-21,14,17.3,15:57,9.9,0:02
수원,2020-10-22,13.2,18.8,12:10,8.1,23:15
수원,2020-10-23,8.7,12.9,16:10,5.1,23:51
수원,2020-10-24,8.5,14.1,15:44,3.1,1:49
수원,2020-10-25,10.8,18,12:13,3.7,6:54
수원,2020-10-26,11.4,18.9,13:24,5,5:29
수원,2020-10-27,12.6,19.5,14:29,6.6,3:51
수원,2020-10-28,13.6,19,13:30,9.3,23:34
수원,2020-10-29,9.5,16.4,14:43,2.2,6:23
수원,2020-10-30,10.4,19,14:43,3.1,6:23
수원,2020-10-31,12.9,18.6,12:57,5.7,0:17
수원,2020-11-01,12.9,13.8,14:18,11.7,8:29
수원,2020-11-02,10.7,16.2,14:25,5.8,7:32
수원,2020-11-03,5.4,9,0:01,2.5,23:58
수원,2020-11-04,4.9,10.7,15:37,-0.4,4:17
수원,2020-11-05,8.6,15.5,14:32,0.7,5:45
수원,2020-11-06,12.9,16.8,15:06,8.6,3:59
수원,2020-11-07,13.3,17.5,12:36,9,24:00:00
수원,2020-11-08,8.3,12.4,13:19,3.7,23:58
수원,2020-11-09,5.9,9.8,14:37,0.9,4:56
수원,2020-11-10,6.7,13.3,13:59,-0.1,5:34
수원,2020-11-11,7.9,16.4,15:11,0.8,6:56
수원,2020-11-12,9,17.8,14:47,1.8,4:37
수원,2020-11-13,10.2,17,15:15,4.8,3:28
수원,2020-11-14,10.6,18.8,14:32,3.6,7:29
수원,2020-11-15,9.9,16.7,13:40,4.5,6:31
수원,2020-11-16,11.5,17.9,14:49,5.4,3:52
수원,2020-11-17,16,19.9,13:22,10.5,4:24
수원,2020-11-18,17.3,19.7,14:14,14.5,0:48
수원,2020-11-19,14.2,20.7,6:20,7.8,23:58
수원,2020-11-20,3.5,7.8,0:01,-0.5,23:41
수원,2020-11-21,6.7,12.7,14:38,-1.2,2:39
수원,2020-11-22,6,9.2,0:14,1.7,23:55
수원,2020-11-23,1.8,5.8,13:43,-0.8,23:10
수원,2020-11-24,3.4,8.4,15:20,-1.3,1:00
수원,2020-11-25,4.2,10.4,14:45,-1.4,4:59
수원,2020-11-26,5.4,11,14:50,0.8,2:53
수원,2020-11-27,4.3,7.5,10:50,0.5,23:55
수원,2020-11-28,0.4,3.7,13:25,-1.8,7:12
수원,2020-11-29,-0.3,2.8,12:59,-3.2,5:36
수원,2020-11-30,-0.3,4.7,13:16,-5,5:27
수원,2020-12-01,1.6,6.5,14:57,-4.2,4:09
수원,2020-12-02,3.2,8,14:18,0.4,23:56
수원,2020-12-03,1.3,5,13:48,-2,24:00:00
수원,2020-12-04,-0.3,5.2,14:49,-4.9,6:28
수원,2020-12-05,1.9,7,14:17,-3,5:11
수원,2020-12-06,3.5,9,14:38,-0.2,6:44
수원,2020-12-07,3.4,7.5,13:25,-0.7,23:24
수원,2020-12-08,-0.7,4.5,14:54,-4,7:34
수원,2020-12-09,1,5.8,13:40,-6.4,5:34
수원,2020-12-10,5.5,9.5,14:13,2.4,1:53
수원,2020-12-11,4.9,9.8,13:57,0.2,5:46
수원,2020-12-12,2.4,6.8,14:06,-1.4,23:02
수원,2020-12-13,-0.9,2.2,13:04,-5.3,23:49
수원,2020-12-14,-6.7,-4.3,12:57,-8.7,7:28
수원,2020-12-15,-6.9,-3.6,14:25,-9.7,7:33
수원,2020-12-16,-7,-3.1,15:52,-9.9,7:25
수원,2020-12-17,-5.3,0.7,15:37,-11.5,5:24
수원,2020-12-18,-1.5,2.4,13:58,-6,23:50
수원,2020-12-19,-4.6,-1,13:12,-9,7:41
수원,2020-12-20,-3.9,1.6,14:48,-9.8,7:04
수원,2020-12-21,-1.6,4.1,12:39,-7.3,3:27
수원,2020-12-22,1.6,6.5,15:05,-3.5,0:23
수원,2020-12-23,3.6,9.2,13:40,-3,5:34
수원,2020-12-24,2.5,6.5,12:38,-1.5,23:51
수원,2020-12-25,-1,3.8,15:06,-5.5,4:32
수원,2020-12-26,1.6,8.5,14:46,-2.9,0:03
수원,2020-12-27,4.7,9.1,13:05,-0.1,1:26
수원,2020-12-28,5.3,11.4,15:27,1.4,23:53
수원,2020-12-29,-0.3,4.2,11:10,-5.4,23:59
수원,2020-12-30,-10,-5.4,0:01,-12.5,23:34
수원,2020-12-31,-8.7,-4.4,13:50,-12.6,5:56
수원,2021-01-01,-4.6,0,15:27,-10.4,3:32
수원,2021-01-02,-4.5,-0.8,14:46,-8.4,7:26
수원,2021-01-03,-5.5,-0.4,13:29,-10.1,7:05
수원,2021-01-04,-3.6,0.6,14:48,-10.4,5:39
수원,2021-01-05,-4.9,-0.8,0:13,-9.3,23:54
수원,2021-01-06,-7.2,-1.9,15:27,-12.4,5:59
수원,2021-01-07,-13.8,-8.3,0:01,-15.9,7:52
수원,2021-01-08,-14.4,-10.7,14:48,-18.4,6:56
수원,2021-01-09,-12.7,-7.7,15:46,-18.6,4:41
수원,2021-01-10,-8.9,-2.7,15:33,-16.8,5:53
수원,2021-01-11,-7.6,-3.6,15:12,-12.5,3:05
수원,2021-01-12,-3.9,0.7,14:38,-11,4:57
수원,2021-01-13,1.7,8.7,14:25,-4.9,6:25
수원,2021-01-14,1.5,7.6,15:50,-5.3,8:00
수원,2021-01-15,4,11.3,13:03,-1.6,1:19
수원,2021-01-16,-4.2,-0.7,0:01,-7.3,24:00:00
수원,2021-01-17,-5.3,-1.4,16:51,-11.1,7:40
수원,2021-01-18,-3.2,1.6,13:01,-8.2,23:55
수원,2021-01-19,-6.6,-0.5,15:12,-12.1,7:27
수원,2021-01-20,-0.4,7.4,16:00,-8.6,4:35
수원,2021-01-21,4.5,8.3,13:27,-0.2,0:14
수원,2021-01-22,5.7,7.5,13:58,3.9,4:11
수원,2021-01-23,7.9,12.1,14:42,1.9,5:46
수원,2021-01-24,6.9,13.1,15:33,1.3,8:01
수원,2021-01-25,6.9,14.2,14:47,0.6,3:53
수원,2021-01-26,4.2,6.6,15:13,1,23:41
수원,2021-01-27,1.5,6.2,14:17,-2.4,7:48
수원,2021-01-28,-2.6,1.6,11:49,-8.6,23:57
수원,2021-01-29,-8.1,-4.6,14:42,-11,4:54
수원,2021-01-30,-0.8,6.6,13:25,-8.4,0:01
수원,2021-01-31,3.6,10.5,14:54,-5.8,5:54
수원,2021-02-01,5,9.9,13:44,-1.3,23:59
수원,2021-02-02,-4.8,-1.2,0:01,-6.9,7:33
수원,2021-02-03,-3.2,1.7,15:23,-10.3,5:25
수원,2021-02-04,-3.8,0.8,1:45,-8,8:03
수원,2021-02-05,0.5,6.6,15:37,-6.4,0:01
수원,2021-02-06,6.1,10.2,15:53,0.8,4:10
수원,2021-02-07,3.2,7.2,0:08,-2.2,24:00:00
수원,2021-02-08,-2.6,0.6,14:42,-4.6,7:39
수원,2021-02-09,-1.3,4,16:19,-7.4,7:02
수원,2021-02-10,2.3,7.4,16:15,-3.4,2:43
수원,2021-02-11,4,11.3,15:21,-1.3,5:44
수원,2021-02-12,4.9,14.1,14:56,-1.6,7:09
수원,2021-02-13,4.9,15.7,15:25,-3.2,7:20
수원,2021-02-14,8.1,14,13:10,2.4,2:52
수원,2021-02-15,1,6.6,0:20,-4.1,23:57
수원,2021-02-16,-4.8,-2.5,11:25,-6.7,5:59
수원,2021-02-17,-7.9,-5,15:17,-9.8,6:18
수원,2021-02-18,-5.5,-0.8,15:02,-9.9,4:53
수원,2021-02-19,1.4,9.3,14:26,-8.1,5:27
수원,2021-02-20,7,14.4,15:23,0,3:47
수원,2021-02-21,10.8,18.5,14:44,1.7,7:11
수원,2021-02-22,6.6,12.7,14:32,0.6,23:56
수원,2021-02-23,0.2,4.1,14:19,-2.5,6:43
수원,2021-02-24,2.1,10.2,15:43,-2.1,6:23
수원,2021-02-25,3.4,8.6,14:15,-2.2,3:11
수원,2021-02-26,8.1,15.6,15:20,-1.3,7:26
수원,2021-02-27,8.8,14.6,15:17,3.5,7:22
수원,2021-02-28,7.3,10.7,15:22,0.9,6:55
수원,2021-03-01,5,8.1,1:07,0.5,23:25
수원,2021-03-02,2.4,6.8,16:28,-0.6,23:45
수원,2021-03-03,3.4,9.5,15:54,-2.1,4:49
수원,2021-03-04,6.7,12.2,15:47,0.4,2:25
수원,2021-03-05,7.3,16,14:42,1,5:31
수원,2021-03-06,7,12.6,12:56,4,0:01
수원,2021-03-07,5.7,10.8,15:56,2.2,23:56
수원,2021-03-08,5,13.3,15:13,-1.2,7:31
수원,2021-03-09,5.3,11.7,13:12,-0.5,4:51
수원,2021-03-10,7.2,16.8,16:09,-0.3,6:39
수원,2021-03-11,8.6,17.3,15:18,1.5,3:33
수원,2021-03-12,9.4,12.9,12:42,6.8,2:03
수원,2021-03-13,8.1,14.2,13:23,2.7,6:25
수원,2021-03-14,7.3,13.4,14:33,1.6,6:11
수원,2021-03-15,10,16.1,15:44,2.3,4:58
수원,2021-03-16,7.6,12.5,13:19,4.5,22:03
수원,2021-03-17,7.1,16.8,15:06,0.5,6:10
수원,2021-03-18,9.9,18.8,15:19,1.2,6:08
수원,2021-03-19,13.9,19.4,15:50,9,3:13
수원,2021-03-20,8.8,13.5,0:01,6,23:12
수원,2021-03-21,5.8,8.9,13:06,3.6,23:39
수원,2021-03-22,5.8,11.1,13:48,1,4:52
수원,2021-03-23,8.7,16.5,13:21,1.5,6:34
수원,2021-03-24,9.9,17.5,15:01,4,5:55
수원,2021-03-25,10.5,18.8,14:39,5.4,23:42
수원,2021-03-26,11.9,21.2,16:45,4.3,5:05
수원,2021-03-27,11.5,15.6,11:23,6.7,4:59
수원,2021-03-28,9.4,13.4,0:02,7.5,10:25
수원,2021-03-29,9.8,15.4,13:50,5.7,24:00:00
수원,2021-03-30,9.6,18.3,15:07,1.6,6:08
수원,2021-03-31,12.6,22.9,15:44,2.2,5:35
수원,2021-04-01,16.8,23.8,15:01,7.9,3:04
수원,2021-04-02,17.5,22.3,16:04,12.9,5:45
수원,2021-04-03,15.4,18.6,0:59,11.8,24:00:00
수원,2021-04-04,12.2,15.8,14:38,9.9,5:01
수원,2021-04-05,11.3,18.3,14:40,5.8,6:39
수원,2021-04-06,12.1,18.6,13:12,6.1,3:46
수원,2021-04-07,12.4,20.3,13:48,5,5:48
수원,2021-04-08,11.5,17.5,13:53,4.8,6:18
수원,2021-04-09,12.4,19,15:23,4,5:06
수원,2021-04-10,11.7,17.7,14:33,7.7,5:45
수원,2021-04-11,13.9,22.4,15:13,4.7,5:56
수원,2021-04-12,13.5,17.5,11:57,11.7,16:44
수원,2021-04-13,9.4,13.4,0:33,6,23:59
수원,2021-04-14,7.9,13.1,12:30,3,5:03
수원,2021-04-15,10.6,17.9,14:59,4.3,5:32
수원,2021-04-16,10.2,14.8,16:00,6,23:47
수원,2021-04-17,9,14.1,13:17,3.8,5:00
수원,2021-04-18,9.3,14.3,15:55,5.5,6:16
수원,2021-04-19,11.5,18.6,14:16,4.6,6:14
수원,2021-04-20,13.3,21.4,14:07,5.8,6:17
수원,2021-04-21,17.8,28.6,16:16,7.5,6:02
수원,2021-04-22,20.2,27.6,15:31,14.1,3:38
수원,2021-04-23,20.1,23.1,14:23,16.4,3:06
수원,2021-04-24,17.4,23,17:01,12.1,23:59
수원,2021-04-25,17.3,24.1,16:30,9.2,4:22
수원,2021-04-26,15.5,21.4,15:32,11,5:37
수원,2021-04-27,15,20.1,14:09,9.5,4:49
수원,2021-04-28,14.4,19.2,13:06,11.3,5:09
수원,2021-04-29,14.7,20.2,15:26,10,3:41
수원,2021-04-30,10.7,14.4,15:16,7.9,4:26
수원,2021-05-01,10.6,14.2,12:02,8.6,23:44
수원,2021-05-02,11.7,17.8,13:44,7.8,5:44
수원,2021-05-03,13.1,20.3,15:24,6.3,3:50
수원,2021-05-04,15.1,18.1,17:17,10.1,1:47
수원,2021-05-05,13.7,18.2,15:53,9.8,22:30
수원,2021-05-06,15.3,23.1,13:54,6.2,4:52
수원,2021-05-07,13.3,17.3,9:26,10.1,22:49
수원,2021-05-08,13.8,21.3,15:20,8,5:54
수원,2021-05-09,14.3,21.3,15:31,7.7,5:46
수원,2021-05-10,11.8,14.1,4:58,8.6,2:31
수원,2021-05-11,18.2,24.6,15:06,9.6,5:42
수원,2021-05-12,20.5,27.2,17:18,15.6,5:18
수원,2021-05-13,20.9,29,14:46,13.7,4:20
수원,2021-05-14,21.8,30.4,14:33,15.1,2:47
수원,2021-05-15,20.9,23.2,11:22,18.5,4:39
수원,2021-05-16,19.1,21.2,6:28,15.9,23:53
수원,2021-05-17,15.2,16.3,10:34,13.4,23:47
수원,2021-05-18,16.9,23.9,16:05,12.7,3:15
수원,2021-05-19,18.9,26.2,15:09,10.6,5:27
수원,2021-05-20,18.1,23.4,13:25,14.5,23:48
수원,2021-05-21,15.1,16.9,13:26,12.9,23:43
수원,2021-05-22,17.5,23.6,14:44,12.1,5:26
수원,2021-05-23,18.7,25.4,14:10,11.8,5:23
수원,2021-05-24,17.8,24.2,14:36,13.7,23:58
수원,2021-05-25,14.8,18.6,15:38,11.9,23:55
수원,2021-05-26,17.7,23.8,13:32,11.1,2:51
수원,2021-05-27,15.3,17.7,0:16,13,23:45
수원,2021-05-28,14.8,20.3,16:39,11.8,8:55
수원,2021-05-29,16.2,20.9,11:21,12.2,5:43
수원,2021-05-30,18.7,27.4,16:33,10.5,5:11
수원,2021-05-31,20.4,24.9,15:37,16.8,0:01
수원,2021-06-01,21.5,25.3,12:44,17.4,0:55
수원,2021-06-02,23.1,30,14:40,16,5:31
수원,2021-06-03,18.8,22.7,11:08,14.1,23:26
수원,2021-06-04,18.1,24.1,15:10,12.6,4:52
수원,2021-06-05,20.1,25.9,15:49,15.7,2:02
수원,2021-06-06,22.3,27.5,16:02,18,1:19
수원,2021-06-07,21.3,26.2,17:35,16.8,5:02
수원,2021-06-08,23.1,28.8,14:03,18.7,2:59
수원,2021-06-09,25.7,32.3,15:01,19.6,1:46
수원,2021-06-10,24.9,31.4,13:29,19.9,23:43
수원,2021-06-11,21.5,25.7,13:27,18.8,23:28
수원,2021-06-12,22.7,29,12:51,17,5:17
수원,2021-06-13,22.1,28.9,14:45,17.5,23:04
수원,2021-06-14,22.2,29.7,14:10,16.9,3:06
수원,2021-06-15,22.8,26.2,16:52,20.2,1:39
수원,2021-06-16,24.8,29.7,15:19,19.9,4:38
수원,2021-06-17,21.7,24.2,14:25,20,5:10
수원,2021-06-18,19.8,21.4,13:53,18.7,23:25
수원,2021-06-19,21.9,27.4,16:02,17.6,5:21
수원,2021-06-20,22.8,29.6,14:32,16.6,5:18
수원,2021-06-21,23,28.4,14:14,18.3,5:16
수원,2021-06-22,23.4,28.5,15:36,18.6,1:21
수원,2021-06-23,22.2,26.2,14:42,19.7,5:06
수원,2021-06-24,22.6,27.9,13:35,18.7,3:07
수원,2021-06-25,23.3,28.8,14:19,17.9,4:13
수원,2021-06-26,23,27.4,15:59,20.3,4:11
수원,2021-06-27,25.1,31.1,15:44,19.8,5:09
수원,2021-06-28,23.7,29.6,16:12,21.3,7:35
수원,2021-06-29,23.5,28.6,12:37,20.7,23:58
수원,2021-06-30,24,28.9,13:24,20.2,1:52
수원,2021-07-01,26.2,32.1,15:12,20.4,3:37
수원,2021-07-02,27.4,31.9,16:04,23.2,1:16
수원,2021-07-03,23.4,26.8,13:15,20.7,22:32
수원,2021-07-04,22,24.7,13:46,20.5,19:52
수원,2021-07-05,23.8,27.4,13:26,20.2,4:47
수원,2021-07-06,25.2,29.5,15:30,21,5:21
수원,2021-07-07,25.7,29,16:01,23,4:20
수원,2021-07-08,25.3,30.8,14:08,22.4,22:39
수원,2021-07-09,25.1,29.6,13:59,22.5,5:19
수원,2021-07-10,26.1,30,13:29,22.4,1:04
수원,2021-07-11,26.1,29.4,15:12,24,24:00:00
수원,2021-07-12,27.5,32.9,16:12,23.3,2:12
수원,2021-07-13,28.8,32.7,13:11,25.2,4:26
수원,2021-07-14,29.3,33.5,15:17,24.9,3:01
수원,2021-07-15,28.7,34.5,13:31,25.2,5:37
수원,2021-07-16,28.2,34.8,14:36,23.5,22:41
수원,2021-07-17,28.1,32.8,15:04,23.1,5:30
수원,2021-07-18,28.5,34.3,15:50,23.2,21:21
