지점명,일시,평균기온(℃),최고기온(℃),최고기온시각,최저기온(℃),최저기온시각일교차
수원,2019-04-13,11,18.7,14:15,3.3,4:35
수원,2019-04-14,9.2,13.8,15:46,5.9,24:00:00
수원,2019-04-15,10.2,18.8,13:22,1.7,5:23
수원,2019-04-16,14.2,23.8,14:10,3.5,6:09
수원,2019-04-17,14.5,23.2,13:34,7,5:07
수원,2019-04-18,12.7,18.8,14:40,8.2,5:58
수원,2019-04-19,14.1,19.2,17:00,9.5,0:26
수원,2019-04-20,15,20.4,13:36,9.9,3:45
수원,2019-04-21,14.3,20.3,16:19,11.8,23:43
수원,2019-04-22,18.1,29.2,15:37,8.5,5:56
수원,2019-04-23,19.1,25.7,12:03,13,5:28
수원,2019-04-24,18.2,25.9,13:43,14.7,22:59
수원,2019-04-25,13.9,17.5,7:23,8.7,23:42
수원,2019-04-26,8.7,11.6,12:40,7.2,23:00
수원,2019-04-27,11.4,18.5,12:44,3.2,5:34
수원,2019-04-28,12.1,16.8,14:19,8.2,23:53
수원,2019-04-29,12,16.1,12:34,7.5,4:35
수원,2019-04-30,14.7,23.1,13:57,7.3,4:12
수원,2019-05-01,14.3,21.1,13:34,9.2,5:20
수원,2019-05-02,15,25.3,14:13,7.2,5:20
수원,2019-05-03,16.3,26.9,13:37,7.2,5:42
수원,2019-05-04,17.2,26.9,13:31,9.5,3:50
수원,2019-05-05,18.1,27.5,12:40,10.6,5:37
수원,2019-05-06,13.5,20,15:29,8.6,23:56
수원,2019-05-07,14.1,22.5,14:39,6.7,4:28
수원,2019-05-08,14.7,22.7,14:49,7.4,5:24
수원,2019-05-09,15.7,23,15:15,10.4,23:46
수원,2019-05-10,16.2,26.6,13:12,7.7,5:11
수원,2019-05-11,17.7,27,14:35,10,5:15
수원,2019-05-12,19.3,28.8,15:07,10.6,4:27
수원,2019-05-13,18,24.8,13:07,13,4:49
수원,2019-05-14,19.2,27.2,16:00,12.6,4:55
수원,2019-05-15,19.9,27.9,14:22,13.7,2:57
수원,2019-05-16,22.3,30.5,14:06,15,5:20
수원,2019-05-17,22.5,28.4,14:15,15.5,5:12
수원,2019-05-18,21.4,25,16:05,18.1,4:54
수원,2019-05-19,19.3,21.6,14:51,17.4,2:12
수원,2019-05-20,15.7,19.5,0:01,10.7,23:53
수원,2019-05-21,16.7,24.2,14:20,9.4,5:24
수원,2019-05-22,19.4,27.4,13:40,10.7,5:10
수원,2019-05-23,20.7,29.9,16:26,12.4,5:13
수원,2019-05-24,23.1,32.6,15:17,14.6,4:16
수원,2019-05-25,23,30.2,14:04,16.9,4:57
수원,2019-05-26,23.8,31.2,13:53,16.9,5:22
수원,2019-05-27,17.4,22.9,1:34,14.4,23:44
수원,2019-05-28,18,24.6,13:34,11,4:40
수원,2019-05-29,19,27.1,15:30,11.8,5:26
수원,2019-05-30,19.3,26.8,12:41,12.3,5:35
수원,2019-05-31,18.9,24.2,13:44,14.4,4:05
수원,2019-06-01,17.9,24.6,14:32,12.6,4:35
수원,2019-06-02,20.5,28.1,13:43,12.4,5:14
수원,2019-06-03,22.3,28.8,12:36,14.1,5:12
수원,2019-06-04,21.8,29.3,12:17,16,4:46
수원,2019-06-05,21.6,29.2,13:08,17.9,6:24
수원,2019-06-06,21.2,26.3,12:43,16.8,3:54
수원,2019-06-07,19.9,24.5,17:04,17.1,5:07
수원,2019-06-08,21.7,28.4,15:01,15.2,5:01
수원,2019-06-09,21.7,27.1,14:33,17.4,23:56
수원,2019-06-10,19.5,23.9,12:34,16,6:02
수원,2019-06-11,20.5,26.3,14:59,15.9,23:51
수원,2019-06-12,20.6,26.2,14:04,14.6,4:08
수원,2019-06-13,22.5,29.3,14:34,15.1,4:58
수원,2019-06-14,22.4,28.5,14:12,17.7,4:26
수원,2019-06-15,21.6,26.8,11:54,17.1,5:38
수원,2019-06-16,20.9,28.4,13:57,15.3,5:09
수원,2019-06-17,21,26.5,14:14,17.2,4:17
수원,2019-06-18,21.1,25.2,16:15,17.9,4:20
수원,2019-06-19,21.9,27,14:18,18.8,0:54
수원,2019-06-20,22.6,28.7,13:55,19.5,1:17
수원,2019-06-21,22.5,27.2,15:33,18.7,5:08
수원,2019-06-22,24.2,31,16:54,18.1,5:17
수원,2019-06-23,24.2,30.8,14:13,17.1,5:14
수원,2019-06-24,24.2,30.7,13:23,19.2,5:26
수원,2019-06-25,25,32.7,14:18,17.2,5:09
수원,2019-06-26,24.3,28,16:14,19.4,4:29
수원,2019-06-27,25,29.7,15:01,21.1,0:25
수원,2019-06-28,24,29.8,14:58,21.1,23:55
수원,2019-06-29,22.9,26,12:12,20,2:14
수원,2019-06-30,23.5,28,13:01,19.7,5:35
수원,2019-07-01,23.2,29,15:39,19.6,5:15
수원,2019-07-02,23.9,30.2,13:33,19.7,4:57
수원,2019-07-03,23.9,28.8,13:07,19.9,2:54
수원,2019-07-04,24.1,31.6,13:42,18.4,2:53
수원,2019-07-05,26.8,35,15:15,19.3,3:38
수원,2019-07-06,28.6,35.1,16:44,20.3,5:40
수원,2019-07-07,27,31.9,14:52,23.6,5:24
수원,2019-07-08,25.2,30,15:27,21.3,4:58
수원,2019-07-09,25.3,30.4,13:33,20.6,4:10
수원,2019-07-10,22.5,26.5,14:06,19.2,21:14
수원,2019-07-11,22.1,26.8,12:29,19.6,2:07
수원,2019-07-12,23.8,28.3,12:22,19.7,5:15
수원,2019-07-13,23.6,28.1,15:17,20.9,7:57
수원,2019-07-14,25,31.2,14:46,20.6,4:42
수원,2019-07-15,23.9,27.2,12:41,21.4,2:57
수원,2019-07-16,25.1,29.5,12:19,21.5,3:20
수원,2019-07-17,26.1,30.6,15:56,22,4:56
수원,2019-07-18,27,32.3,15:33,23.2,6:05
수원,2019-07-19,28.3,33.8,13:20,22.1,3:37
수원,2019-07-20,28.4,32.2,15:40,25.6,7:39
수원,2019-07-21,25.1,28,0:01,23.7,5:48
수원,2019-07-22,27,31.7,17:19,24.3,1:59
수원,2019-07-23,28.3,33.8,15:45,24.6,2:16
수원,2019-07-24,26.5,27.7,17:18,24.7,5:37
수원,2019-07-25,26.2,27.3,13:11,25.5,6:12
수원,2019-07-26,25.8,28.5,16:06,24.7,10:49
수원,2019-07-27,28.3,33.2,14:09,24.5,5:37
수원,2019-07-28,26.4,28,0:01,24.8,8:03
수원,2019-07-29,28,31.2,15:30,25.6,3:00
수원,2019-07-30,28.7,31.5,13:53,26.6,4:52
수원,2019-07-31,26.9,28.8,15:34,23.8,10:15
수원,2019-08-01,27.7,31.9,15:15,25.1,4:01
수원,2019-08-02,28.4,33.9,15:08,24.5,1:58
수원,2019-08-03,29.1,35.5,14:46,24.6,6:03
수원,2019-08-04,28.8,34,14:02,24.7,5:18
수원,2019-08-05,30.4,36.2,14:43,24.9,3:44
수원,2019-08-06,31.7,36.5,14:19,27.9,2:42
수원,2019-08-07,27.5,32.7,15:11,24,6:44
수원,2019-08-08,28.4,33.2,14:02,24.9,4:22
수원,2019-08-09,29,34.1,15:25,25.1,3:05
수원,2019-08-10,30.9,36.3,16:39,25.6,2:35
수원,2019-08-11,30,35.3,15:08,25.5,23:48
수원,2019-08-12,26.8,29,17:15,24.7,0:32
수원,2019-08-13,29.1,34.7,16:23,25,6:18
수원,2019-08-14,30.1,35.2,15:24,25.5,4:23
수원,2019-08-15,25.6,29.8,0:01,23.8,23:40
수원,2019-08-16,25.7,29.5,12:38,23.4,0:41
수원,2019-08-17,24.8,27.6,12:28,21.3,23:53
수원,2019-08-18,24.4,29.7,14:26,20.8,3:00
수원,2019-08-19,25.5,31.1,14:50,20,4:10
수원,2019-08-20,27.4,31.9,14:48,22.6,3:56
수원,2019-08-21,27.2,31.3,15:49,24.1,4:54
수원,2019-08-22,26.3,30.5,13:01,23.8,23:09
수원,2019-08-23,25.5,29.6,14:44,22.9,23:36
수원,2019-08-24,23.1,27.2,17:14,20.2,5:24
수원,2019-08-25,23.9,28.8,13:08,19.7,3:35
수원,2019-08-26,25.6,31,15:58,20.1,5:13
수원,2019-08-27,24.7,28.8,15:28,21.5,6:39
수원,2019-08-28,25.4,29.4,14:09,22.7,6:11
수원,2019-08-29,23.1,27.1,10:58,20,12:34
수원,2019-08-30,22.6,26.8,13:33,18.6,4:08
수원,2019-08-31,22.6,27.7,12:48,17.4,5:42
수원,2019-09-01,23.2,28.2,16:07,18.5,4:44
수원,2019-09-02,24.3,29.2,13:41,19.2,6:20
수원,2019-09-03,23.8,26.2,14:38,21.5,4:26
수원,2019-09-04,23.3,27.4,13:57,21.9,6:36
수원,2019-09-05,23.5,27.6,11:52,22.1,22:35
수원,2019-09-06,26,29.1,12:34,22.1,1:16
수원,2019-09-07,26.4,30.4,13:31,23.4,20:33
수원,2019-09-08,24.5,27.7,12:59,22.6,2:26
수원,2019-09-09,24.4,27,13:58,22.4,4:12
수원,2019-09-10,24.9,29.1,10:58,22.7,4:07
