지점명,일시,강수량(mm),1시간최다강수량(mm),1시간최다강수량시각
수원,2021-07-05,,,
수원,2021-07-06,0.3,0.7,23:31
수원,2021-07-07,23,8.3,21:13
수원,2021-07-08,4.2,3.6,0:06
수원,2021-07-09,,,
수원,2021-07-10,2.1,1.8,6:19
수원,2021-07-11,0,0,
수원,2021-07-12,0,0,
수원,2021-07-13,,,
수원,2021-07-14,,,
수원,2021-07-15,0,0,
수원,2021-07-16,21.8,13.1,21:04
수원,2021-07-17,0,0,
수원,2021-07-18,20.1,20.1,20:34
수원,2021-07-19,6.3,5.1,16:44
수원,2021-07-20,,,
수원,2021-07-21,,,
수원,2021-07-22,,,
수원,2021-07-23,,,
수원,2021-07-24,,,
수원,2021-07-25,,,
수원,2021-07-26,,,
수원,2021-07-27,,,
수원,2021-07-28,7.5,7.5,15:58
수원,2021-07-29,,,
수원,2021-07-30,,,
수원,2021-07-31,3.2,3.1,0:32
수원,2021-08-01,14.3,7,18:33
수원,2021-08-02,1.1,0.6,12:03
수원,2021-08-03,0,0,
수원,2021-08-04,,,
수원,2021-08-05,,,
수원,2021-08-06,0,0,
수원,2021-08-07,,,
수원,2021-08-08,0,0,
수원,2021-08-09,,,
수원,2021-08-10,,,
수원,2021-08-11,1.5,1.5,14:11
수원,2021-08-12,0,0,
수원,2021-08-13,,,
수원,2021-08-14,,,
수원,2021-08-15,,,
수원,2021-08-16,,,
수원,2021-08-17,1.5,1.5,20:19
수원,2021-08-18,31.1,14.8,6:45
수원,2021-08-19,,,
수원,2021-08-20,6.5,6.1,21:19
수원,2021-08-21,22.7,7.6,8:55
수원,2021-08-22,0,0,
수원,2021-08-23,13.2,3.9,17:22
수원,2021-08-24,13.7,4.2,12:13
수원,2021-08-25,1.8,0.7,10:25
수원,2021-08-26,0,0,
수원,2021-08-27,3.5,2.6,7:44
수원,2021-08-28,0,0,
수원,2021-08-29,8.1,4,6:17
수원,2021-08-30,0,0,
수원,2021-08-31,42.1,15.5,23:31
수원,2021-09-01,70.9,43.9,0:21
수원,2021-09-02,,,
수원,2021-09-03,,,
수원,2021-09-04,,,
수원,2021-09-05,,,
수원,2021-09-06,16.7,5,19:37
수원,2021-09-07,17.8,2.4,4:04
수원,2021-09-08,0.4,0.3,0:33
수원,2021-09-09,,,
수원,2021-09-10,,,
수원,2021-09-11,,,
수원,2021-09-12,,,
수원,2021-09-13,,,
수원,2021-09-14,,,
수원,2021-09-15,,,
수원,2021-09-16,,,
수원,2021-09-17,0,0,
수원,2021-09-18,,,
수원,2021-09-19,,,
수원,2021-09-20,,,
수원,2021-09-21,30.1,10.3,5:23
수원,2021-09-22,15.6,10.9,0:18
수원,2021-09-23,,,
수원,2021-09-24,,,
수원,2021-09-25,0,0,
수원,2021-09-26,,,
수원,2021-09-27,0,0,
수원,2021-09-28,1.2,0.5,20:20
수원,2021-09-29,11.4,3.6,6:29
수원,2021-09-30,,,
수원,2021-10-01,6.2,6.2,22:36
수원,2021-10-02,1.9,1.9,2:46
수원,2021-10-03,,,
수원,2021-10-04,0,0,
수원,2021-10-05,,,
수원,2021-10-06,0.8,0.6,6:09
수원,2021-10-07,3.2,1.7,4:44
수원,2021-10-08,2.5,0.6,2:21
수원,2021-10-09,0.2,0.2,
수원,2021-10-10,9.1,3,18:00
수원,2021-10-11,0.1,0.1,
수원,2021-10-12,0,0,
수원,2021-10-13,,,
수원,2021-10-14,,,
수원,2021-10-15,0.5,0.3,7:56
수원,2021-10-16,0,0,
수원,2021-10-17,,,
수원,2021-10-18,0,0,
수원,2021-10-19,11.3,6.2,0:33
수원,2021-10-20,,,
수원,2021-10-21,,,
수원,2021-10-22,,,
수원,2021-10-23,,,
수원,2021-10-24,,,
수원,2021-10-25,,,
수원,2021-10-26,,,
수원,2021-10-27,0.2,0.2,
수원,2021-10-28,,,
수원,2021-10-29,,,
수원,2021-10-30,,,
수원,2021-10-31,,,
수원,2021-11-01,,,
수원,2021-11-02,,,
수원,2021-11-03,0.8,,
수원,2021-11-04,0,,
수원,2021-11-05,,,
수원,2021-11-06,,,
수원,2021-11-07,,,
수원,2021-11-08,38.4,,
수원,2021-11-09,22.2,,
수원,2021-11-10,0.1,,
수원,2021-11-11,1.2,,
수원,2021-11-12,,,
수원,2021-11-13,,,
수원,2021-11-14,,,
수원,2021-11-15,,,
수원,2021-11-16,,,
수원,2021-11-17,,,
수원,2021-11-18,0,,
수원,2021-11-19,,,
수원,2021-11-20,,,
수원,2021-11-21,4.2,,
수원,2021-11-22,1.2,,
수원,2021-11-23,0,,
수원,2021-11-24,0.9,,
수원,2021-11-25,0.2,,
수원,2021-11-26,,,
수원,2021-11-27,,,
수원,2021-11-28,,,
수원,2021-11-29,,,
수원,2021-11-30,35,,
수원,2021-12-01,,,
수원,2021-12-02,0.2,,
수원,2021-12-03,2.1,,
수원,2021-12-04,,,
수원,2021-12-05,,,
수원,2021-12-06,,,
수원,2021-12-07,,,
수원,2021-12-08,,,
수원,2021-12-09,,,
수원,2021-12-10,0.7,,
수원,2021-12-11,,,
수원,2021-12-12,,,
수원,2021-12-13,,,
수원,2021-12-14,1.6,,
수원,2021-12-15,3.4,,
수원,2021-12-16,,,
수원,2021-12-17,,,
수원,2021-12-18,0.5,,
수원,2021-12-19,1.7,,
수원,2021-12-20,0,,
수원,2021-12-21,,,
수원,2021-12-22,,,
수원,2021-12-23,,,
수원,2021-12-24,0,,
수원,2021-12-25,,,
수원,2021-12-26,,,
수원,2021-12-27,0,,
수원,2021-12-28,,,
수원,2021-12-29,2.1,,
수원,2021-12-30,,,
수원,2021-12-31,,,
수원,2022-01-01,,,
수원,2022-01-02,0.5,,
수원,2022-01-03,0,,
수원,2022-01-04,0,,
수원,2022-01-05,,,
수원,2022-01-06,,,
수원,2022-01-07,,,
수원,2022-01-08,0,,
수원,2022-01-09,,,
수원,2022-01-10,0.5,,
수원,2022-01-11,0.5,,
수원,2022-01-12,,,
수원,2022-01-13,0,,
수원,2022-01-14,,,
수원,2022-01-15,0,,
수원,2022-01-16,,,
수원,2022-01-17,0.2,,
수원,2022-01-18,,,
수원,2022-01-19,0.6,,
수원,2022-01-20,,,
수원,2022-01-21,,,
수원,2022-01-22,,,
수원,2022-01-23,,,
수원,2022-01-24,,,
수원,2022-01-25,0.8,,
수원,2022-01-26,,,
수원,2022-01-27,,,
수원,2022-01-28,,,
수원,2022-01-29,,,
수원,2022-01-30,,,
수원,2022-01-31,0.8,,
수원,2022-02-01,1.3,,
수원,2022-02-02,,,
수원,2022-02-03,0,,
수원,2022-02-04,0,,
수원,2022-02-05,,,
수원,2022-02-06,,,
수원,2022-02-07,,,
수원,2022-02-08,,,
수원,2022-02-09,,,
수원,2022-02-10,,,
수원,2022-02-11,,,
수원,2022-02-12,,,
수원,2022-02-13,,,
수원,2022-02-14,1.7,,
수원,2022-02-15,0,,
수원,2022-02-16,0,,
수원,2022-02-17,,,
수원,2022-02-18,,,
수원,2022-02-19,,,
수원,2022-02-20,,,
수원,2022-02-21,0,,
수원,2022-02-22,0,,
수원,2022-02-23,,,
수원,2022-02-24,,,
수원,2022-02-25,,,
수원,2022-02-26,1,,
수원,2022-02-27,,,
수원,2022-02-28,,,
수원,2022-03-01,2.9,,
수원,2022-03-02,,,
수원,2022-03-03,,,
수원,2022-03-04,,,
수원,2022-03-05,,,
수원,2022-03-06,,,
수원,2022-03-07,,,
수원,2022-03-08,,,
수원,2022-03-09,,,
수원,2022-03-10,,,
수원,2022-03-11,,,
수원,2022-03-12,,,
수원,2022-03-13,22.1,,
수원,2022-03-14,7.9,,
수원,2022-03-15,,,
수원,2022-03-16,,,
수원,2022-03-17,0.1,,
수원,2022-03-18,0.5,,
수원,2022-03-19,12.2,,
수원,2022-03-20,,,
수원,2022-03-21,,,
수원,2022-03-22,,,
수원,2022-03-23,,,
수원,2022-03-24,,,
수원,2022-03-25,8.2,,
수원,2022-03-26,20.8,,
수원,2022-03-27,,,
수원,2022-03-28,,,
수원,2022-03-29,,,
수원,2022-03-30,0,,
수원,2022-03-31,,,
수원,2022-04-01,,,
수원,2022-04-02,,,
수원,2022-04-03,,,
수원,2022-04-04,,,
수원,2022-04-05,,,
수원,2022-04-06,,,
수원,2022-04-07,,,
수원,2022-04-08,,,
수원,2022-04-09,1.3,1.3,7:45
수원,2022-04-10,,,
수원,2022-04-11,,,
수원,2022-04-12,0,0,
수원,2022-04-13,9.5,3,4:37
수원,2022-04-14,1.2,0.6,1:25
수원,2022-04-15,,,
수원,2022-04-16,,,
수원,2022-04-17,,,
수원,2022-04-18,,,
수원,2022-04-19,,,
수원,2022-04-20,,,
수원,2022-04-21,,,
수원,2022-04-22,,,
수원,2022-04-23,,,
수원,2022-04-24,0,0,
수원,2022-04-25,4.2,2.6,22:44
수원,2022-04-26,12,5.5,1:54
수원,2022-04-27,,,
수원,2022-04-28,,,
수원,2022-04-29,14.2,3.6,3:31
수원,2022-04-30,,,
수원,2022-05-01,,,
수원,2022-05-02,0,0,
수원,2022-05-03,,,
수원,2022-05-04,,,
수원,2022-05-05,,,
수원,2022-05-06,,,
수원,2022-05-07,0.1,0.1,
수원,2022-05-08,2.4,1.4,21:57
수원,2022-05-09,,,
수원,2022-05-10,0,0,
수원,2022-05-11,0,0,
수원,2022-05-12,,,
수원,2022-05-13,,,
수원,2022-05-14,,,
수원,2022-05-15,,,
수원,2022-05-16,,,
수원,2022-05-17,,,
수원,2022-05-18,0.5,0.5,9:29
수원,2022-05-19,,,
수원,2022-05-20,,,
수원,2022-05-21,,,
수원,2022-05-22,,,
수원,2022-05-23,,,
수원,2022-05-24,,,
수원,2022-05-25,10,6.8,21:40
수원,2022-05-26,,,
수원,2022-05-27,,,
수원,2022-05-28,,,
수원,2022-05-29,,,
수원,2022-05-30,0.4,0.3,4:01
수원,2022-05-31,,,
수원,2022-06-01,,,
수원,2022-06-02,,,
수원,2022-06-03,,,
수원,2022-06-04,,,
수원,2022-06-05,0.3,0.3,20:39
수원,2022-06-06,3.1,1.6,10:19
수원,2022-06-07,,,
수원,2022-06-08,,,
수원,2022-06-09,0.1,0.1,
수원,2022-06-10,1.3,1.3,14:50
수원,2022-06-11,0,0,
수원,2022-06-12,,,
수원,2022-06-13,,,
수원,2022-06-14,0.5,0.3,22:37
수원,2022-06-15,52.7,15.3,14:33
수원,2022-06-16,0.1,0.1,
수원,2022-06-17,,,
수원,2022-06-18,,,
수원,2022-06-19,0,0,
수원,2022-06-20,,,
수원,2022-06-21,,,
수원,2022-06-22,,,
수원,2022-06-23,65,24.1,18:44
수원,2022-06-24,15.4,10.2,0:50
수원,2022-06-25,,,
수원,2022-06-26,,,
수원,2022-06-27,3.4,3,12:18
수원,2022-06-28,0,0,
수원,2022-06-29,45.2,13.7,1:33
수원,2022-06-30,285,58.8,9:04
수원,2022-07-01,5.4,5.4,11:32
수원,2022-07-02,,,
수원,2022-07-03,,,
수원,2022-07-04,,,
수원,2022-07-05,0,0,
수원,2022-07-06,23.5,23.5,21:29
수원,2022-07-07,0,0,
수원,2022-07-08,0.2,0.2,
수원,2022-07-09,0,0,
수원,2022-07-10,0,0,
수원,2022-07-11,0.7,0.4,4:37
수원,2022-07-12,,,
수원,2022-07-13,139.1,31.7,17:33
수원,2022-07-14,0.8,0.6,4:55
수원,2022-07-15,,,
수원,2022-07-16,,,
수원,2022-07-17,,,
수원,2022-07-18,0,0,
수원,2022-07-19,,,
수원,2022-07-20,0.6,0.5,23:30
수원,2022-07-21,12.4,3.5,4:44
수원,2022-07-22,0.1,0.1,
수원,2022-07-23,25.7,10.1,21:13
수원,2022-07-24,0.4,0.4,19:18
수원,2022-07-25,,,
수원,2022-07-26,,,
수원,2022-07-27,,,
수원,2022-07-28,0.3,0.3,20:27
수원,2022-07-29,,,
수원,2022-07-30,0,0,
수원,2022-07-31,33.8,10.8,20:51
수원,2022-08-01,37.3,14.8,4:42
수원,2022-08-02,5,1.7,0:59
수원,2022-08-03,55.5,32.5,4:57
수원,2022-08-04,0,0,
수원,2022-08-05,0.4,0.4,5:07
수원,2022-08-06,6.9,6.8,14:15
수원,2022-08-07,0,0,
수원,2022-08-08,129.4,59.1,23:07
수원,2022-08-09,192.8,51.7,1:52
수원,2022-08-10,14.6,6.2,0:03
수원,2022-08-11,83.7,29.5,2:39
수원,2022-08-12,,,
수원,2022-08-13,6.9,3.6,13:53
수원,2022-08-14,31.5,23.4,17:38
수원,2022-08-15,0.6,0.6,23:20
수원,2022-08-16,0,0,
수원,2022-08-17,,,
수원,2022-08-18,,,
수원,2022-08-19,9,5.4,16:35
수원,2022-08-20,0,1.4,#VALUE!
수원,2022-08-21,,,
수원,2022-08-22,2.2,2,20:40
수원,2022-08-23,6.1,2.9,4:30
수원,2022-08-24,,,
수원,2022-08-25,0.4,0.4,13:40
수원,2022-08-26,,,
수원,2022-08-27,2.4,2.4,
수원,2022-08-28,,,
수원,2022-08-29,1.4,1,6:23
수원,2022-08-30,54.7,7.1,5:19
수원,2022-08-31,0,0,
수원,2022-09-01,,,
수원,2022-09-02,,,
수원,2022-09-03,,,
수원,2022-09-04,18.7,8.2,18:20
수원,2022-09-05,120.4,11.6,17:56
수원,2022-09-06,39.3,11.4,1:47
수원,2022-09-07,,,
수원,2022-09-08,,,
수원,2022-09-09,,,
수원,2022-09-10,,,
수원,2022-09-11,,,
수원,2022-09-12,,,
수원,2022-09-13,0,0,
수원,2022-09-14,0,0,
수원,2022-09-15,,,
수원,2022-09-16,7.3,5.9,17:37
수원,2022-09-17,2.4,2.3,#VALUE!
수원,2022-09-18,,,
수원,2022-09-19,,,
수원,2022-09-20,,,
수원,2022-09-21,,,
수원,2022-09-22,,,
수원,2022-09-23,2,2,
수원,2022-09-24,,,
수원,2022-09-25,,,
수원,2022-09-26,,,
수원,2022-09-27,,,
수원,2022-09-28,,,
수원,2022-09-29,,,
수원,2022-09-30,,,
수원,2022-10-01,,,
수원,2022-10-02,12,6.6,17:45
수원,2022-10-03,38.7,14.5,5:17
수원,2022-10-04,21.2,13,1:22
수원,2022-10-05,,,
수원,2022-10-06,,,
수원,2022-10-07,,,
수원,2022-10-08,,,
수원,2022-10-09,23,4.9,18:52
수원,2022-10-10,13.6,4.6,6:43
수원,2022-10-11,,,
수원,2022-10-12,,,
수원,2022-10-13,,,
수원,2022-10-14,,,
수원,2022-10-15,,,
수원,2022-10-16,,,
수원,2022-10-17,,,
수원,2022-10-18,,,
수원,2022-10-19,,,
수원,2022-10-20,,,
수원,2022-10-21,,,
수원,2022-10-22,,,
수원,2022-10-23,,,
수원,2022-10-24,,,
수원,2022-10-25,,,
수원,2022-10-26,,,
수원,2022-10-27,,,
수원,2022-10-28,,,
수원,2022-10-29,,,
수원,2022-10-30,,,
수원,2022-10-31,,,
수원,2022-11-01,,,
수원,2022-11-02,,,
수원,2022-11-03,,,
수원,2022-11-04,,,
수원,2022-11-05,,,
수원,2022-11-06,,,
수원,2022-11-07,0,,
수원,2022-11-08,0.2,,
수원,2022-11-09,,,
수원,2022-11-10,,,
수원,2022-11-11,,,
수원,2022-11-12,34.7,,
수원,2022-11-13,0,,
수원,2022-11-14,,,
수원,2022-11-15,2.5,,
수원,2022-11-16,,,
수원,2022-11-17,,,
수원,2022-11-18,,,
수원,2022-11-19,,,
수원,2022-11-20,,,
수원,2022-11-21,0,,
수원,2022-11-22,0.1,,
수원,2022-11-23,0,,
수원,2022-11-24,,,
수원,2022-11-25,0.8,,
수원,2022-11-26,0.1,,
수원,2022-11-27,,,
수원,2022-11-28,10.4,,
수원,2022-11-29,2.6,,
수원,2022-11-30,,,
수원,2022-12-01,,,
