지점명,일시,강수량(mm),1시간최다강수량(mm),1시간최다강수량시각
수원,2019-08-02,,,
수원,2019-08-03,0,0,
수원,2019-08-04,,,
수원,2019-08-05,,,
수원,2019-08-06,,,
수원,2019-08-07,4.7,1.6,5:27
수원,2019-08-08,,,
수원,2019-08-09,,,
수원,2019-08-10,,,
수원,2019-08-11,4.8,6.2,23:31
수원,2019-08-12,46.7,17.1,7:03
수원,2019-08-13,0.4,0.4,21:06
수원,2019-08-14,0,0,
수원,2019-08-15,29.1,20.3,11:26
수원,2019-08-16,1,1,6:53
수원,2019-08-17,6.6,6.4,9:06
수원,2019-08-18,,,
수원,2019-08-19,,,
수원,2019-08-20,,,
수원,2019-08-21,0,0,
수원,2019-08-22,0,0,
수원,2019-08-23,,,
수원,2019-08-24,0,0,
수원,2019-08-25,,,
수원,2019-08-26,,,
수원,2019-08-27,5.5,2.1,5:29
수원,2019-08-28,0,0,
수원,2019-08-29,15.3,15,11:50
수원,2019-08-30,,,
수원,2019-08-31,0,0,
수원,2019-09-01,,,
수원,2019-09-02,,,
수원,2019-09-03,0,0,
수원,2019-09-04,20.5,13,14:50
수원,2019-09-05,80.6,39.5,13:16
수원,2019-09-06,0.9,0.6,20:03
수원,2019-09-07,0.4,0.3,15:26
수원,2019-09-08,,,
수원,2019-09-09,2.6,0.7,6:09
수원,2019-09-10,50.3,27.4,21:36
수원,2019-09-11,7.1,3.6,0:44
수원,2019-09-12,28.3,17,17:17
수원,2019-09-13,0.1,0.2,
수원,2019-09-14,1.3,0.7,13:52
수원,2019-09-15,,,
수원,2019-09-16,,,
수원,2019-09-17,,,
수원,2019-09-18,,,
수원,2019-09-19,,,
수원,2019-09-20,,,
수원,2019-09-21,0,0,
수원,2019-09-22,9.8,1.8,1:18
수원,2019-09-23,,,
수원,2019-09-24,,,
수원,2019-09-25,,,
수원,2019-09-26,,,
수원,2019-09-27,,,
수원,2019-09-28,,,
수원,2019-09-29,,,
수원,2019-09-30,,,
수원,2019-10-01,,,
수원,2019-10-02,25.1,5.1,22:14
수원,2019-10-03,13.2,6.3,0:14
수원,2019-10-04,,,
수원,2019-10-05,0.1,0.1,
수원,2019-10-06,,,
수원,2019-10-07,25.6,3.9,8:55
수원,2019-10-08,0,0,
수원,2019-10-09,,,
수원,2019-10-10,,,
수원,2019-10-11,,,
수원,2019-10-12,,,
수원,2019-10-13,,,
수원,2019-10-14,,,
수원,2019-10-15,,,
수원,2019-10-16,,,
수원,2019-10-17,,,
수원,2019-10-18,,,
수원,2019-10-19,,,
수원,2019-10-20,,,
수원,2019-10-21,,,
수원,2019-10-22,,,
수원,2019-10-23,,,
수원,2019-10-24,,,
수원,2019-10-25,0,0,
수원,2019-10-26,,,
수원,2019-10-27,,,
수원,2019-10-28,2.7,7.3,23:31
수원,2019-10-29,6.4,8.9,23:51
수원,2019-10-30,,,
수원,2019-10-31,,,
수원,2019-11-01,,,
수원,2019-11-02,,,
수원,2019-11-03,,,
수원,2019-11-04,,,
수원,2019-11-05,,,
수원,2019-11-06,,,
수원,2019-11-07,,,
수원,2019-11-08,,,
수원,2019-11-09,,,
수원,2019-11-10,16.1,,
수원,2019-11-11,5.8,,
수원,2019-11-12,,,
수원,2019-11-13,5.7,,
수원,2019-11-14,,,
수원,2019-11-15,10.1,,
수원,2019-11-16,,,
수원,2019-11-17,41.6,,
수원,2019-11-18,10.6,,
수원,2019-11-19,0,,
수원,2019-11-20,,,
수원,2019-11-21,,,
수원,2019-11-22,,,
수원,2019-11-23,0,,
수원,2019-11-24,3.3,,
수원,2019-11-25,,,
수원,2019-11-26,,,
수원,2019-11-27,,,
수원,2019-11-28,,,
수원,2019-11-29,,,
수원,2019-11-30,,,
수원,2019-12-01,4.1,,
수원,2019-12-02,,,
수원,2019-12-03,1.2,,
수원,2019-12-04,2.6,,
수원,2019-12-05,,,
수원,2019-12-06,,,
수원,2019-12-07,0,,
수원,2019-12-08,,,
수원,2019-12-09,,,
수원,2019-12-10,1.6,,
수원,2019-12-11,0.7,,
수원,2019-12-12,,,
수원,2019-12-13,0.9,,
수원,2019-12-14,2,,
수원,2019-12-15,,,
수원,2019-12-16,0,,
수원,2019-12-17,6.2,,
수원,2019-12-18,,,
수원,2019-12-19,,,
수원,2019-12-20,0,,
수원,2019-12-21,0.3,,
수원,2019-12-22,0,,
수원,2019-12-23,3.7,,
수원,2019-12-24,,,
수원,2019-12-25,,,
수원,2019-12-26,1.8,,
수원,2019-12-27,,,
수원,2019-12-28,,,
수원,2019-12-29,0.6,,
수원,2019-12-30,0.5,,
수원,2019-12-31,0,,
수원,2020-01-01,0,,
수원,2020-01-02,,,
수원,2020-01-03,,,
수원,2020-01-04,,,
수원,2020-01-05,,,
수원,2020-01-06,3.9,,
수원,2020-01-07,50.8,,
수원,2020-01-08,4.4,,
수원,2020-01-09,,,
수원,2020-01-10,,,
수원,2020-01-11,,,
수원,2020-01-12,,,
수원,2020-01-13,,,
수원,2020-01-14,,,
수원,2020-01-15,,,
수원,2020-01-16,,,
수원,2020-01-17,,,
수원,2020-01-18,,,
수원,2020-01-19,0.4,,
수원,2020-01-20,0,,
수원,2020-01-21,,,
수원,2020-01-22,0,,
수원,2020-01-23,,,
수원,2020-01-24,,,
수원,2020-01-25,,,
수원,2020-01-26,,,
수원,2020-01-27,1.4,,
수원,2020-01-28,0.1,,
수원,2020-01-29,,,
수원,2020-01-30,,,
수원,2020-01-31,,,
수원,2020-02-01,,,
수원,2020-02-02,0,,
수원,2020-02-03,0.1,,
수원,2020-02-04,1.1,,
수원,2020-02-05,,,
수원,2020-02-06,,,
수원,2020-02-07,0,,
수원,2020-02-08,,,
수원,2020-02-09,,,
수원,2020-02-10,,,
수원,2020-02-11,,,
수원,2020-02-12,10.5,,
수원,2020-02-13,,,
수원,2020-02-14,,,
수원,2020-02-15,1.7,,
수원,2020-02-16,8,,
수원,2020-02-17,0.4,,
수원,2020-02-18,,,
수원,2020-02-19,,,
수원,2020-02-20,,,
수원,2020-02-21,5.1,,
수원,2020-02-22,4.5,,
수원,2020-02-23,,,
수원,2020-02-24,,,
수원,2020-02-25,22.6,,
수원,2020-02-26,,,
수원,2020-02-27,,,
수원,2020-02-28,5.2,,
수원,2020-02-29,,,
수원,2020-03-01,0,,
수원,2020-03-02,0,,
수원,2020-03-03,,,
수원,2020-03-04,0.2,,
수원,2020-03-05,,,
수원,2020-03-06,,,
수원,2020-03-07,,,
수원,2020-03-08,,,
수원,2020-03-09,0.2,,
수원,2020-03-10,7.3,,
수원,2020-03-11,,,
수원,2020-03-12,,,
수원,2020-03-13,0.1,,
수원,2020-03-14,,,
수원,2020-03-15,,,
수원,2020-03-16,,,
수원,2020-03-17,,,
수원,2020-03-18,,,
수원,2020-03-19,,,
수원,2020-03-20,,,
수원,2020-03-21,,,
수원,2020-03-22,,,
수원,2020-03-23,,,
수원,2020-03-24,,,
수원,2020-03-25,,,
수원,2020-03-26,4.1,,
수원,2020-03-27,7.6,,
수원,2020-03-28,,,
수원,2020-03-29,,,
수원,2020-03-30,,,
수원,2020-03-31,,,
수원,2020-04-01,,,
수원,2020-04-02,,,
수원,2020-04-03,,,
수원,2020-04-04,,,
수원,2020-04-05,,,
수원,2020-04-06,,,
수원,2020-04-07,,,
수원,2020-04-08,,,
수원,2020-04-09,,,
수원,2020-04-10,,,
수원,2020-04-11,,,
수원,2020-04-12,,,
수원,2020-04-13,,,
수원,2020-04-14,,,
수원,2020-04-15,,,
수원,2020-04-16,,,
수원,2020-04-17,4.1,1.2,12:32
수원,2020-04-18,,,
수원,2020-04-19,11.5,3.7,16:36
수원,2020-04-20,0.2,0.2,
수원,2020-04-21,,,
수원,2020-04-22,0,0,
수원,2020-04-23,,,
수원,2020-04-24,,,
수원,2020-04-25,,,
수원,2020-04-26,,,
수원,2020-04-27,,,
수원,2020-04-28,,,
수원,2020-04-29,,,
수원,2020-04-30,,,
수원,2020-05-01,,,
수원,2020-05-02,0.1,0.1,
수원,2020-05-03,0.6,0.6,5:41
수원,2020-05-04,,,
수원,2020-05-05,2.5,2.2,13:48
수원,2020-05-06,,,
수원,2020-05-07,,,
수원,2020-05-08,3.1,1.6,23:31
수원,2020-05-09,23.2,7,9:20
수원,2020-05-10,0.5,0.2,
수원,2020-05-11,1.2,1.8,23:21
수원,2020-05-12,1,1,0:01
수원,2020-05-13,,,
수원,2020-05-14,,,
수원,2020-05-15,12.6,3.8,9:23
수원,2020-05-16,1.2,0.5,2:52
수원,2020-05-17,0.1,0.1,
수원,2020-05-18,36.7,29.1,15:48
수원,2020-05-19,3.9,2.6,6:34
수원,2020-05-20,,,
수원,2020-05-21,,,
수원,2020-05-22,0,0,
수원,2020-05-23,,,
수원,2020-05-24,9.9,8.6,6:25
수원,2020-05-25,0,0,
수원,2020-05-26,0.1,0.1,
수원,2020-05-27,,,
수원,2020-05-28,,,
수원,2020-05-29,,,
수원,2020-05-30,,,
수원,2020-05-31,1.2,1.1,23:01
수원,2020-06-01,0.2,0.7,#VALUE!
수원,2020-06-02,1.1,1.1,11:42
수원,2020-06-03,0.1,0.1,
수원,2020-06-04,0.4,0.1,
수원,2020-06-05,0,0,
수원,2020-06-06,,,
수원,2020-06-07,,,
수원,2020-06-08,,,
수원,2020-06-09,,,
수원,2020-06-10,10.8,5.9,20:24
수원,2020-06-11,0,0.2,
수원,2020-06-12,0,0,
수원,2020-06-13,0.1,0.5,23:31
수원,2020-06-14,1.1,0.6,0:01
수원,2020-06-15,,,
수원,2020-06-16,,,
수원,2020-06-17,,,
수원,2020-06-18,0,0,
수원,2020-06-19,0.4,0.3,4:26
수원,2020-06-20,,,
수원,2020-06-21,,,
수원,2020-06-22,,,
수원,2020-06-23,0,0,
수원,2020-06-24,14.1,5.3,10:12
수원,2020-06-25,4.4,1.8,0:16
수원,2020-06-26,2.1,1.3,0:52
수원,2020-06-27,0,0,
수원,2020-06-28,,,
수원,2020-06-29,29.5,11.8,22:43
수원,2020-06-30,26.8,8.8,#VALUE!
수원,2020-07-01,0.5,0.4,17:04
수원,2020-07-02,0.6,0.6,22:30
수원,2020-07-03,0.5,0.4,20:13
수원,2020-07-04,1,0.7,0:07
수원,2020-07-05,,,
수원,2020-07-06,,,
수원,2020-07-07,,,
수원,2020-07-08,,,
수원,2020-07-09,,,
수원,2020-07-10,0.8,0.6,5:00
수원,2020-07-11,,,
수원,2020-07-12,4.8,1.3,19:58
수원,2020-07-13,47.2,6.5,1:32
수원,2020-07-14,16.2,5.8,2:05
수원,2020-07-15,0.2,0.2,
수원,2020-07-16,,,
수원,2020-07-17,,,
수원,2020-07-18,,,
수원,2020-07-19,35.6,22,6:59
수원,2020-07-20,1.8,0.6,8:31
수원,2020-07-21,,,
수원,2020-07-22,92.9,37.2,7:55
수원,2020-07-23,90.1,17.7,19:49
수원,2020-07-24,1.4,0.7,8:21
수원,2020-07-25,,,
수원,2020-07-26,0,0,
수원,2020-07-27,1.9,1.1,11:59
수원,2020-07-28,1.9,0.6,8:19
수원,2020-07-29,87,33.8,4:14
수원,2020-07-30,0.2,0.1,
수원,2020-07-31,0.1,0.1,
수원,2020-08-01,28.7,16.7,23:28
