,PowerGeneration,Timeofsunshine(hr),Percentageofsunshine(%),Amountofsunshine(MJ_m2),AverageTemperature(℃),MaximumTemperature(℃),MinimumTemperature(℃),AverageHumid(%rh),MinmumHumid(%rh),Precipitation(mm)
PowerGeneration,1.0,0.3208701150783148,-0.017134928227107587,0.8872622905854572,0.7145510046746595,0.7494619411525376,0.6819469806554489,0.4433803554271161,0.2808796519369542,
Timeofsunshine(hr),0.3208701150783148,1.0,0.9403135718856206,-0.15181968794165754,-0.4131952390825193,-0.35263828525298424,-0.45734749667836533,-0.6831741909048503,-0.6967084658815078,
Percentageofsunshine(%),-0.017134928227107587,0.9403135718856206,1.0,-0.47452034698461015,-0.6981558323589768,-0.648890405686824,-0.7325176636107891,-0.8674990089855178,-0.810521891860932,
Amountofsunshine(MJ_m2),0.8872622905854572,-0.15181968794165754,-0.47452034698461015,1.0,0.9434320717475576,0.9495723751829681,0.9311244560093647,0.7989856325907257,0.6410897788446484,
AverageTemperature(℃),0.7145510046746595,-0.4131952390825193,-0.6981558323589768,0.9434320717475576,1.0,0.9970770365433334,0.9987626414079264,0.8721813469542978,0.6820279036199592,
MaximumTemperature(℃),0.7494619411525376,-0.35263828525298424,-0.648890405686824,0.9495723751829681,0.9970770365433334,1.0,0.9923188359946271,0.8330880946902317,0.6275308701596879,
MinimumTemperature(℃),0.6819469806554489,-0.45734749667836533,-0.7325176636107891,0.9311244560093647,0.9987626414079264,0.9923188359946271,1.0,0.8912604289063432,0.7082354352323944,
AverageHumid(%rh),0.4433803554271161,-0.6831741909048503,-0.8674990089855178,0.7989856325907257,0.8721813469542978,0.8330880946902317,0.8912604289063432,1.0,0.9492074641085022,
MinmumHumid(%rh),0.2808796519369542,-0.6967084658815078,-0.810521891860932,0.6410897788446484,0.6820279036199592,0.6275308701596879,0.7082354352323944,0.9492074641085022,1.0,
Precipitation(mm),,,,,,,,,,
