,PowerGeneration,Timeofsunshine(hr),Percentageofsunshine(%),Amountofsunshine(MJ_m2),AverageTemperature(℃),MaximumTemperature(℃),MinimumTemperature(℃),AverageHumid(%rh),MinmumHumid(%rh),Precipitation(mm)
PowerGeneration,1.0,0.8673093640645049,0.5886951934088446,0.8643246875648645,-0.15986756164743582,-0.08451584678142879,-0.2069062636036419,-0.425281182752202,-0.6587686876648128,-0.4347529993276291
Timeofsunshine(hr),0.8673093640645049,1.0,0.9045367995412351,0.5390384930086248,-0.5746001393326031,-0.5081960252479768,-0.6138504055541314,-0.7697919391459156,-0.9285842953730555,-0.6408275168102706
Percentageofsunshine(%),0.5886951934088446,0.9045367995412351,1.0,0.13199596561596408,-0.8217130220570672,-0.775270381672388,-0.8484789059523986,-0.8494578392775277,-0.9543847119794171,-0.7213515225882423
Amountofsunshine(MJ_m2),0.8643246875648645,0.5390384930086248,0.13199596561596408,1.0,0.29817035867634106,0.36248969664219466,0.2571325640457908,-0.090259003985625,-0.2745512845586209,-0.06771082764597193
AverageTemperature(℃),-0.15986756164743582,-0.5746001393326031,-0.8217130220570672,0.29817035867634106,1.0,0.9956081891366444,0.9960993348244007,0.6390942128039784,0.6969295089883458,0.569282212800783
MaximumTemperature(℃),-0.08451584678142879,-0.5081960252479768,-0.775270381672388,0.36248969664219466,0.9956081891366444,1.0,0.9849038793643291,0.5988530059514182,0.6361846810658865,0.530931166183617
MinimumTemperature(℃),-0.2069062636036419,-0.6138504055541314,-0.8484789059523986,0.2571325640457908,0.9960993348244007,0.9849038793643291,1.0,0.6651033161502481,0.737053218745794,0.5863055556093335
AverageHumid(%rh),-0.425281182752202,-0.7697919391459156,-0.8494578392775277,-0.090259003985625,0.6390942128039784,0.5988530059514182,0.6651033161502481,1.0,0.9069631541133859,0.5042081770382902
MinmumHumid(%rh),-0.6587686876648128,-0.9285842953730555,-0.9543847119794171,-0.2745512845586209,0.6969295089883458,0.6361846810658865,0.737053218745794,0.9069631541133859,1.0,0.6842752611005276
Precipitation(mm),-0.4347529993276291,-0.6408275168102706,-0.7213515225882423,-0.06771082764597193,0.569282212800783,0.530931166183617,0.5863055556093335,0.5042081770382902,0.6842752611005276,1.0
